      1 - stats, VEH, VEH, 68.245485827482, vehBack.0, rx,(314.752,98.35,0), 8, 
      1 - stats, VEH, VEH, 68.245485827482, veh.1, rx,(297.744,101.65,0), 12, 
      1 - stats, VEH, VEH, 68.245485827482, vehBack.1, rx,(322.253,98.35,0), 8, 
      1 - stats, VEH, VEH, 68.245485827482, veh.2, rx,(288.145,101.65,0), 12, 
      1 - stats, VEH, VEH, 68.245485827482, vehBack.2, rx,(329.755,98.35,0), 8, 
      1 - stats, VEH, VEH, 68.30747672022, veh.0, rx,(305.249,101.65,0), 12, 
      1 - stats, VEH, VEH, 68.30747672022, vehBack.0, rx,(314.752,98.35,0), 12, 
      1 - stats, VEH, VEH, 68.30747672022, vehBack.1, rx,(322.253,98.35,0), 12, 
      1 - stats, VEH, VEH, 68.30747672022, veh.2, rx,(288.452,101.65,0), 12, 
      1 - stats, VEH, VEH, 68.30747672022, vehBack.2, rx,(329.755,98.35,0), 12, 
      1 - stats, VEH, VEH, 68.43629683729, veh.0, rx,(305.249,101.65,0), 12, 
      1 - stats, VEH, VEH, 68.43629683729, vehBack.0, rx,(314.752,98.35,0), 12, 
      1 - stats, VEH, VEH, 68.43629683729, veh.1, rx,(297.744,101.65,0), 12, 
      1 - stats, VEH, VEH, 68.43629683729, vehBack.1, rx,(322.253,98.35,0), 12, 
      1 - stats, VEH, VEH, 68.43629683729, veh.2, rx,(289.091,101.65,0), 12, 
      1 - stats, VEH, VPA, 70.20625114929, veh.3, rx,(96.2056,101.65,0), 15, 
      1 - stats, VEH, VEH, 73.535106566841, veh.0, rx,(327.597,101.65,0), 12, 
      1 - stats, VEH, VEH, 73.535106566841, vehBack.0, rx,(287.008,98.35,0), 12, 
      1 - stats, VEH, VEH, 73.535106566841, veh.1, rx,(308.796,101.65,0), 12, 
      1 - stats, VEH, VEH, 73.535106566841, vehBack.1, rx,(307.768,98.35,0), 12, 
      1 - stats, VEH, VEH, 73.535106566841, veh.2, rx,(293.331,101.65,0), 12, 
      1 - stats, VEH, VEH, 73.535106566841, vehBack.3, rx,(397.209,98.35,0), 12, 
      1  73.535106566841 
      1 - stats, VEH, VEH, 73.625593074863, veh.0, rx,(328.266,101.65,0), 12, 
      1 - stats, VEH, VEH, 73.625593074863, vehBack.0, rx,(286.182,98.35,0), 12, 
      1 - stats, VEH, VEH, 73.625593074863, vehBack.1, rx,(307.211,98.35,0), 12, 
      1 - stats, VEH, VEH, 73.625593074863, veh.2, rx,(293.454,101.65,0), 12, 
      1 - stats, VEH, VEH, 73.625593074863, vehBack.2, rx,(325.932,98.35,0), 12, 
      1 - stats, VEH, VEH, 73.625593074863, vehBack.3, rx,(396.386,98.35,0), 12, 
      1  73.625593074863 
      1 - stats, VEH, VEH, 73.817227414143, vehBack.0, rx,(284.432,98.35,0), 12, 
      1 - stats, VEH, VEH, 73.817227414143, veh.1, rx,(310.12,101.65,0), 12, 
      1 - stats, VEH, VEH, 73.817227414143, vehBack.1, rx,(306.032,98.35,0), 12, 
      1 - stats, VEH, VEH, 73.817227414143, veh.2, rx,(293.713,101.65,0), 12, 
      1 - stats, VEH, VEH, 73.817227414143, vehBack.2, rx,(325.581,98.35,0), 12, 
      1 - stats, VEH, VEH, 73.817227414143, vehBack.3, rx,(394.643,98.35,0), 12, 
      1  73.817227414143 
      1 - stats, VEH, VEH, 74.085067676189, veh.0, rx,(334.07,101.65,0), 12, 
      1 - stats, VEH, VEH, 74.085067676189, vehBack.0, rx,(279.282,98.35,0), 12, 
      1 - stats, VEH, VEH, 74.085067676189, veh.1, rx,(313.873,101.65,0), 12, 
      1 - stats, VEH, VEH, 74.085067676189, veh.2, rx,(297.052,101.65,0), 12, 
      1 - stats, VEH, VEH, 74.085067676189, vehBack.2, rx,(323.056,98.35,0), 12, 
      1 - stats, VEH, VEH, 74.085067676189, vehBack.3, rx,(390.139,98.35,0), 12, 
      1  74.085067676189 
      1 - stats, VEH, VEH, 74.099640570827, veh.0, rx,(334.21,101.65,0), 12, 
      1 - stats, VEH, VEH, 74.099640570827, veh.1, rx,(313.975,101.65,0), 12, 
      1 - stats, VEH, VEH, 74.099640570827, vehBack.1, rx,(302.395,98.35,0), 12, 
      1 - stats, VEH, VEH, 74.099640570827, veh.2, rx,(297.112,101.65,0), 12, 
      1 - stats, VEH, VEH, 74.099640570827, vehBack.2, rx,(323.002,98.35,0), 12, 
      1 - stats, VEH, VEH, 74.126179988603, veh.0, rx,(334.465,101.65,0), 12, 
      1 - stats, VEH, VEH, 74.126179988603, vehBack.0, rx,(278.805,98.35,0), 12, 
      1 - stats, VEH, VEH, 74.126179988603, veh.1, rx,(314.161,101.65,0), 12, 
      1 - stats, VEH, VEH, 74.126179988603, vehBack.1, rx,(302.185,98.35,0), 12, 
      1 - stats, VEH, VEH, 74.126179988603, vehBack.2, rx,(322.904,98.35,0), 12, 
      1 - stats, VEH, VEH, 74.126179988603, vehBack.3, rx,(389.687,98.35,0), 12, 
      1  74.126179988603 
      1 - stats, VEH, VPA, 75.254302460934, veh.3, rx,(156.833,101.65,0), 16, 
      1 - stats, VEH, VEH, 79.195449665666, vehBack.1, rx,(238.868,98.35,0), 12, 
      1 - stats, VEH, VEH, 79.195449665666, vehBack.2, rx,(268.128,98.35,0), 12, 
      1 - stats, VEH, VEH, 79.195449665666, veh.3, rx,(202.244,101.65,0), 16, 
      1 - stats, VEH, VEH, 79.195449665666, vehBack.3, rx,(307.505,98.35,0), 12, 
      1 - stats, VEH, VEH, 79.278745410788, veh.0, rx,(400.61,101.65,0), 12, 
      1  79.278745410788 
      1 - stats, VEH, VEH, 79.278745410788, veh.1, rx,(377.194,101.65,0), 12, 
      1 - stats, VEH, VEH, 79.278745410788, vehBack.2, rx,(266.954,98.35,0), 12, 
      1 - stats, VEH, VEH, 79.278745410788, vehBack.3, rx,(306.135,98.35,0), 12, 
      1 - stats, VEH, VEH, 79.37107868761, veh.1, rx,(378.407,101.65,0), 12, 
      1 - stats, VEH, VEH, 79.37107868761, veh.2, rx,(347.236,101.65,0), 12, 
      1 - stats, VEH, VEH, 79.37107868761, vehBack.3, rx,(304.615,98.35,0), 12, 
      1 - stats, VEH, VEH, 79.917482207178, veh.0, rx,(406.156,101.65,0), 12, 
      1  79.917482207178 
      1 - stats, VEH, VEH, 79.917482207178, vehBack.0, rx,(214.066,98.35,0), 12, 
      1 - stats, VEH, VEH, 79.917482207178, veh.1, rx,(385.587,101.65,0), 12, 
      1  79.917482207178 
      1 - stats, VEH, VEH, 79.917482207178, vehBack.1, rx,(230.925,98.35,0), 12, 
      1 - stats, VEH, VEH, 79.917482207178, veh.2, rx,(354.38,101.65,0), 12, 
      1 - stats, VEH, VEH, 79.917482207178, vehBack.2, rx,(257.948,98.35,0), 12, 
      1 - stats, VEH, VEH, 84.979506477369, vehBack.0, rx,(139.788,98.35,0), 12, 
      1 - stats, VEH, VEH, 84.979506477369, vehBack.1, rx,(191.516,98.35,0), 12, 
      1 - stats, VEH, VEH, 84.979506477369, veh.3, rx,(283.472,101.65,0), 16, 
      1 - stats, VEH, VEH, 84.979506477369, vehBack.3, rx,(240.575,98.35,0), 12, 
      1 - stats, VEH, VEH, 85.259884409067, veh.0, rx,(464.208,101.65,0), 12, 
      1 - stats, VEH, VEH, 85.259884409067, veh.2, rx,(399.246,101.65,0), 12, 
      1  85.259884409067 
      1 - stats, VEH, VEH, 85.259884409067, vehBack.4, rx,(472.912,98.35,0), 12, 
      1 - stats, VEH, VEH, 85.322637547404, vehBack.0, rx,(134.537,98.35,0), 12, 
      1 - stats, VEH, VEH, 85.322637547404, vehBack.2, rx,(218.005,98.35,0), 12, 
      1 - stats, VEH, VEH, 85.322637547404, veh.3, rx,(292.029,101.65,0), 16, 
      1 - stats, VEH, VEH, 85.322637547404, vehBack.3, rx,(236.689,98.35,0), 12, 
      1 - stats, VEH, VEH, 85.484066628227, veh.1, rx,(422.706,101.65,0), 12, 
      1 - stats, VEH, VEH, 85.484066628227, veh.2, rx,(400.814,101.65,0), 12, 
      1  85.484066628227 
      1 - stats, VEH, VEH, 85.484066628227, vehBack.4, rx,(470.72,98.35,0), 12, 
      1 - stats, VEH, VPA, 85.805622635885, vehBack.0, rx,(126.522,98.35,0), 18, 
      1 - stats, VEH, VPA, 90.153985614116, vehBack.0, rx,(85.3306,98.35,0), 19, 
      1 - stats, VEH, VPA, 90.153985614116, vehBack.1, rx,(122.401,98.35,0), 19, 
      1 - stats, VEH, VPA, 90.153985614116, vehBack.2, rx,(155.435,98.35,0), 19, 
      1 - stats, VEH, VPA, 90.153985614116, veh.4, rx,(94.125,101.65,0), 19, 
      1 - stats, VEH, VEH, 90.482212416463, vehBack.1, rx,(119.686,98.35,0), 19, 
      1 - stats, VEH, VEH, 90.482212416463, vehBack.2, rx,(150.183,98.35,0), 19, 
      1 - stats, VEH, VEH, 90.676121346333, veh.1, rx,(507.005,101.65,0), 12, 
      1 - stats, VEH, VEH, 90.676121346333, veh.2, rx,(452.241,101.65,0), 12, 
      1 - stats, VEH, VEH, 90.676121346333, veh.3, rx,(396.824,101.65,0), 16, 
      1  90.676121346333 
      1 - stats, VEH, VEH, 90.685151880474, veh.1, rx,(507.182,101.65,0), 12, 
      1 - stats, VEH, VEH, 90.685151880474, veh.3, rx,(396.952,101.65,0), 16, 
      1  90.685151880474 
      1 - stats, VEH, VEH, 90.685151880474, vehBack.4, rx,(415.815,98.35,0), 12, 
      1  90.685151880474 
      1 - stats, VEH, VEH, 95.569892749261, vehBack.0, rx,(11.9345,98.35,0), 19, 
      1 - stats, VEH, VEH, 95.569892749261, vehBack.2, rx,(105.579,98.35,0), 19, 
      1 - stats, VEH, VEH, 95.569892749261, vehBack.3, rx,(131.078,98.35,0), 19, 
      1 - stats, VEH, VEH, 95.569892749261, veh.4, rx,(159.039,101.65,0), 19, 
      1 - stats, VEH, VPA, 95.629103224604, vehBack.1, rx,(61.1749,98.35,0), 20, 
      1 - stats, VEH, VPA, 95.629103224604, vehBack.2, rx,(105.041,98.35,0), 20, 
      1 - stats, VEH, VPA, 95.629103224604, vehBack.3, rx,(130.561,98.35,0), 20, 
      1 - stats, VEH, VPA, 95.629103224604, veh.4, rx,(159.96,101.65,0), 20, 
      1 - stats, VEH, VEH, 95.762099067688, vehBack.1, rx,(59.111,98.35,0), 20, 
      1 - stats, VEH, VEH, 95.762099067688, vehBack.2, rx,(103.833,98.35,0), 20, 
      1 - stats, VEH, VEH, 95.762099067688, vehBack.3, rx,(129.398,98.35,0), 20, 
      1 - stats, VEH, VEH, 95.898700205887, vehBack.1, rx,(56.9911,98.35,0), 20, 
