ID: 288561375 Coord: [29688.62, 20756.71]
ID: 84483861 Coord: [29627.58, 20830.28]
ID: 84483860 Coord: [29747.75, 20687.35]
ID: 84483864 Coord: [29905.74, 20359.73]
ID: 84483863 Coord: [29836.46, 20455.2]
ID: 25729178 Coord: [28929.83, 20162.91]
ID: 84483866 Coord: [29006.03, 20209.74]
ID: 25729180 Coord: [28922.02, 19996.03]
ID: 84483868 Coord: [29120.35, 20271.81]
ID: 25731244 Coord: [29125.44, 20185.54]
ID: 84484210 Coord: [29204.69, 19915.05]
ID: 84484207 Coord: [29277.72, 19982.68]
ID: 273218060 Coord: [14990.67, 17576.26]
ID: 443847 Coord: [15084.04, 17691.43]
ID: 84497500 Coord: [14966.06, 17547.95]
ID: 213284374 Coord: [14949.99, 17530.8]
ID: 592157821 Coord: [14835.02, 17521.32]
ID: 84503732 Coord: [14864.51, 17504.38]
ID: 84503733 Coord: [14796.76, 17533.85]
ID: 592168297 Coord: [14825.61, 17439.4]
ID: 314223765 Coord: [31265.33, 30880.06]
ID: 315510888 Coord: [30946.72, 31078.9]
ID: 314223775 Coord: [31323.24, 30874.22]
ID: 36478247 Coord: [31443.06, 30789.79]
ID: 314698526 Coord: [31642.08, 30692.82]
ID: 363378605 Coord: [31763.82, 30632.9]
ID: 615840427 Coord: [31878.89, 30576.57]
ID: 77928525 Coord: [26930.28, 35428.99]
ID: 76464517 Coord: [26688.64, 36093.64]
ID: 267233610 Coord: [26930.14, 35321.94]
ID: 85877834 Coord: [28869.98, 37272.82]
ID: 261588026 Coord: [29101.24, 37066.75]
ID: 81322350 Coord: [26751.63, 37971.58]
ID: 442013050 Coord: [26071.56, 37628.45]
ID: 442012722 Coord: [25553.2, 37377.77]
ID: 87880190 Coord: [25443.46, 37341.03]
ID: 76475854 Coord: [25114.19, 37235.49]
ID: 266688109 Coord: [28694.06, 36466.42]
ID: 77919092 Coord: [29010.72, 36638.0]
ID: 85933686 Coord: [28457.38, 36292.07]
ID: 85932018 Coord: [28203.45, 36325.6]
ID: 493549812 Coord: [27777.56, 36380.91]
ID: 81322332 Coord: [26875.86, 36187.78]
ID: 85661188 Coord: [20234.18, 37123.32]
ID: 426590045 Coord: [19531.77, 36419.73]
ID: 85662918 Coord: [19494.91, 36367.27]
ID: 430831173 Coord: [19552.23, 36461.47]
ID: 426590027 Coord: [19583.27, 36549.93]
ID: 426593535 Coord: [19589.97, 36570.28]
ID: 426588630 Coord: [19656.16, 36668.06]
ID: 85875206 Coord: [28210.33, 37645.07]
ID: 85877835 Coord: [28854.54, 37253.64]
ID: 85878270 Coord: [29512.21, 36180.3]
ID: 85878266 Coord: [29460.12, 36117.43]
ID: 266907294 Coord: [29556.72, 36162.79]
ID: 266907307 Coord: [29618.19, 36120.47]
ID: 85878278 Coord: [29637.39, 36065.01]
ID: 85878434 Coord: [29417.16, 36154.49]
ID: 266695730 Coord: [29572.81, 36066.26]
ID: 85878439 Coord: [29619.06, 36053.48]
ID: 85930207 Coord: [29105.78, 35683.46]
ID: 269766634 Coord: [29156.73, 35549.11]
ID: 85879217 Coord: [29454.32, 35982.05]
ID: 85879212 Coord: [29432.34, 35921.43]
ID: 85880320 Coord: [29686.33, 36536.43]
ID: 85880337 Coord: [29701.38, 36567.1]
ID: 266907133 Coord: [29611.49, 36523.07]
ID: 266907086 Coord: [29462.54, 36534.32]
ID: 676667041 Coord: [29356.43, 36542.6]
ID: 676667042 Coord: [29281.3, 36550.79]
ID: 269765910 Coord: [29269.12, 36552.33]
ID: 85880331 Coord: [29199.87, 36579.19]
ID: 676667038 Coord: [29192.93, 36585.81]
ID: 85880339 Coord: [29135.35, 36682.96]
ID: 676772683 Coord: [28377.75, 36052.35]
ID: 85931408 Coord: [28345.77, 36159.1]
ID: 85931413 Coord: [28415.46, 35966.57]
ID: 676737586 Coord: [28463.78, 35916.2]
ID: 85931416 Coord: [28552.39, 35823.52]
ID: 266687897 Coord: [28195.99, 36257.32]
ID: 85932491 Coord: [28219.47, 36121.09]
ID: 85932025 Coord: [28264.23, 36004.81]
ID: 266688112 Coord: [28680.03, 36387.02]
ID: 676713801 Coord: [28651.7, 36319.89]
ID: 266688166 Coord: [28637.64, 36280.14]
